// ブロントさん
//黄金の鉄	FF11\ブロントさん\黄金２.wav
//完全論破	FF11\ブロントさん\完全論破.wav
//今謝れば許す	FF11\ブロントさん\今謝れば.wav
//上出来だ	FF11\ブロントさん\上出来だ.wav
//寝てろォ	FF11\ブロントさん\寝てろォ.wav
//やれやれだぜ	FF11\ブロントさん\やれやれだぜ.wav
//めんどくせぇ	FF11\ブロントさん\めんどくせぇ.wav
//生半可なナイトには真似できないダークパワー	FF11\ブロントさん\生半可なナイトには真似できないダークパワー.wav
//ヴォルカニックバイパ	FF11\ブロントさん\ヴォルカニックバイパ.wav
//メガトンインストール	FF11\ブロントさん\メガトンインストール.wav
//メガトンパンチ	FF11\ブロントさん\メガトンパンチ.wav
//ダークパワー	FF11\ブロントさん\ダークパワー.wav

# すごい漢
流影陣	龍虎外伝\すごい漢\流影陣.wav
不幸だわ	艦これ\山城改\26_補給.mp3

### 日向
単なる戦艦の時代は終わったな	艦これ\日向改\3_タッチ2.mp3
まさかの航空戦艦の時代か	艦これ\日向改\9_感謝1.mp3
やっと時代が私に追いついたのか	艦これ\日向改\10_感謝2.mp3
修理してもロクマルは積めないぞ	艦これ\日向改\11_入渠1.mp3
まあそうなるな	艦これ\日向改\26_補給.mp3
そうだ	艦これ\日向改\そうだ.wav
艦載機を放って突撃	艦これ\日向改\艦載機を放って突撃.wav
これだ	艦これ\日向改\これだ.wav

## 【水上機母艦】
### Commandant Teste
コマンタレヴ	艦これ\CommandantTeste改\2.mp3
ウィ？	艦これ\CommandantTeste改\26.mp3
メルシー	艦これ\CommandantTeste改\27.mp3

## 【補給艦】
### 神威
お届けしましょう	艦これ\神威改母\26.mp3
確かにいただきました	艦これ\神威改母\27.mp3

## 【海防艦】
### 占守
しむしゅしゅしゅ	艦これ\占守改\3.mp3

### 国後
できたって	艦これ\国後改\5.mp3
まあいいんじゃない	艦これ\国後改\10.mp3
この海から出ていけ	艦これ\国後改\17.mp3

### 択捉
ありがとうございます！	艦これ\択捉改\9.mp3
これは新型ですか	艦これ\択捉改\10.mp3
ありがたいです	艦これ\択捉改\27.mp3

# Fate
## イリヤ
やっちゃえバーサーカー	Fate\イリヤ\やっちゃえバーサーカー.wav

# アトリエ
## ロロナ
うにー	アトリエ\ロロナ\うにー！.wav
たーる	アトリエ\ロロナ\たーる.wav
た～る	アトリエ\ロロナ\たーる.wav

# EDF5
## モブ隊員
応答しろ、どうなってるんだ	EDF\EDF5\モブ隊員\応答しろ、どうなってるんだ.mp3
食われた、ジョージが食われた	EDF\EDF5\モブ隊員\食われた、ジョージが食われた.mp3
非常事態発生	EDF\EDF5\モブ隊員\非常事態発生.mp3

## 軍曹
お前は民間人だな	EDF\EDF5\軍曹\お前は民間人だな.mp3
自分の身は自分で守れ	EDF\EDF5\軍曹\自分の身は自分で守れ.mp3
民間人を守るのが軍人の努め	EDF\EDF5\軍曹\民間人を守るのが軍人の努め.mp3

## 軍曹の部下
こいつらはいったい何だ	EDF\EDF5\軍曹の部下\こいつらはいったい何だ.mp3
こんな生き物は見たことがねえ	EDF\EDF5\軍曹の部下\こんな生き物は見たことがねえ.mp3
危ないところだったな	EDF\EDF5\軍曹の部下\危ないところだったな.mp3
恐竜の生き残りってわけじゃないよな	EDF\EDF5\軍曹の部下\恐竜の生き残りってわけじゃないよなあ.mp3
誰だこいつ	EDF\EDF5\軍曹の部下\誰だこいつ.mp3

## 先輩
いいねえ	EDF\EDF5\先輩\いいねえ.mp3
ここで簡単な研修をしよう	EDF\EDF5\先輩\ここで簡単な研修をしよう.mp3
ここは車両用の通路なんだ	EDF\EDF5\先輩\ここは車両用の通路なんだ.mp3
ここを曲がろう	EDF\EDF5\先輩\ここを曲がろう.mp3
この基地は人間には広すぎるよ	EDF\EDF5\先輩\この基地は人間には広すぎるよ.mp3
この扉の奥が	EDF\EDF5\先輩\この扉の奥が.mp3
こんな場所しか借りられなかった	EDF\EDF5\先輩\こんな場所しか借りられなかった.mp3
さあ始めよう	EDF\EDF5\先輩\さあ始めよう.mp3
じゃあ仕事にかかろう	EDF\EDF5\先輩\じゃあ仕事にかかろう.mp3
そう緊張しなくていいよ	EDF\EDF5\先輩\そう緊張しなくていいよ.mp3
はぐれないように	EDF\EDF5\先輩\はぐれないように.mp3
パワードスケルトンってのは車と同じだ	EDF\EDF5\先輩\パワードスケルトンってのは車と同じだ.mp3
ぶつかると危ないよ	EDF\EDF5\先輩\ぶつかると危ないよ.mp3
へえっ！？	EDF\EDF5\先輩\へえっ！？.mp3
またか、電気のトラブルかな	EDF\EDF5\先輩\またか、電気のトラブルかな.mp3
ライトをつければ大丈夫	EDF\EDF5\先輩\ライトをつければ大丈夫.mp3
悪くない	EDF\EDF5\先輩\悪くない.mp3
案内するよ、ついてきて	EDF\EDF5\先輩\案内するよ、ついてきて.mp3
基地の地下は広いから迷子になるよ	EDF\EDF5\先輩\基地の地下は広いから迷子になるよ.mp3
気にしなくていいよ	EDF\EDF5\先輩\気にしなくていいよ.mp3
気を抜くなよ	EDF\EDF5\先輩\気を抜くなよ.mp3
軍事用の車両に合わせて作ってあるらしい	EDF\EDF5\先輩\軍事用の車両に合わせて作ってあるらしい.mp3
軍人ってのはこういう悪ふざけが大好きなんだ	EDF\EDF5\先輩\軍人ってのはこういう悪ふざけが大好きなんだ.mp3
車両に気をつけて	EDF\EDF5\先輩\車両に気をつけて.mp3
照明はすぐに直るさ	EDF\EDF5\先輩\照明はすぐに直るさ.mp3
新人ってのは君か？	EDF\EDF5\先輩\新人ってのは君か？.mp3
戦車に気をつけて	EDF\EDF5\先輩\戦車に気をつけて.mp3
大丈夫、問題ないよ	EDF\EDF5\先輩\大丈夫、問題ないよ.mp3
扉を開けよう	EDF\EDF5\先輩\扉を開けよう.mp3
忙しくなるぞ	EDF\EDF5\先輩\忙しくなるぞ.mp3
本当に何かあったのかもしれないな	EDF\EDF5\先輩\本当に何かあったのかもしれないな.mp3
轢かれないように	EDF\EDF5\先輩\轢かれないように.mp3

# 効果音
カンコーン	効果音\カンコーン+.wav
カン☆コーン	効果音\カンコーン+.wav
カーン	効果音\カーン！.wav

// 追加予定メモ
